name;buildingnumber;Lat;Long;Start_date;end_date;shortdescription;description;categories/0;categories/1;categories/2;image;imgURL;thumbnail;parent
"""Sardineblik""";;52.241401;6.851821;;;Ger van Elk is one of the most important representatives of conceptual arts in the Netherlands. This large, half-open can of...;"Ger van Elk is one of the most important representatives
of conceptual arts in the Netherlands. This large, half-open can of fish is an
example of 'anti-art'. Van Elk's intension was to create a playful counterpoint
to the serious business of science. In the days when the Drienerlolaan was
still a four-lane road, this work was sited prominently in the central
reservation.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8a/7b010e01032261a20067041204fe3b0b00982f56020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i36/75dc8e01032261a20067041204fe3b0b00982f56020701c1da00da0080.jpg;
Bus stop UT De Zul;;52.241365;6.855801;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iea/25612a0103af5ca20047c18a04b13b0b00a799c2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie2/fb84620103af5ca20047c18a04b13b0b00a799c2010701c1da00da0080.jpg;
Trial accommodation;18;52.241286;6.863365;;;;;Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic2/e97d4d0103d05ba2001382d102bc3b0b000812b3010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ibb/699c710103d05ba2001382d102bc3b0b000812b3010701c1da00da0080.jpg;
Parking P1;;52.24125;6.856198;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iec/5bfa110103ea57a2008b436004b13b0b003324c8010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i84/b5dbcb0103ea57a2008b436004b13b0b003324c8010701c1da00da0080.jpg;
Calslaan 1;99;52.241247;6.845467;;;At Calslaan Oud students live in four-storey flats. On each floor lives one group consisting of eleven students. Each group has...;"At Calslaan Oud students live in four-storey flats. On each floor lives 
one group consisting of eleven students. Each group has a balcony, two 
showers, two wash basins and two toilets. The rooms are between 11 and 
16 m2 in size. On the upper floor of the flat there is an apartment.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i68/a30e9c0103bf60a200bc2c5402b13b0b0041fbcb010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i75/a50f8c0103bf60a200bc2c5402b13b0b0041fbcb010701c1da00da0080.jpg;poiobject:8C8E3CEB4A4575FD936B50CE277A2077
Student housing Calslaan Oud;;52.241247;6.845467;;;At 'Calslaan Oud' students live in four-storey flats. Each floor accommodates one group consisting of eleven students. Each...;"At 'Calslaan Oud' students
live in four-storey flats. Each floor accommodates one group consisting of
eleven students. Each floor has a balcony, two showers, two washbasins and two
toilets. The rooms are between 11 and 16 m2 in size. An apartment is
located on the upper floor of the flat.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i7b/5057750103855ba200833c4e04fe3b0b000d356e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i07/221ee40103855ba200833c4e04fe3b0b000d356e020701c1da00da0080.jpg;
Faculty Club;42;52.241187;6.853694;;;In this attractive, renovated farm in the middle of the campus the 'Faculty Club' restaurant is located. It is a meeting place...;"In this attractive, renovated
farm in the middle of the campus the 'Faculty Club' restaurant is located. It
is a meeting place for University of Twente staff and their guests. The
restaurant has a sunny terrace next to a fruit orchard and is frequently used
for drinks, parties and receptions. The building is also the home base of the
Stichting Faculty Club, a foundation that organises all sorts of activities in
order to stimulate the academic debate and connect different worlds with one
another. The 'Faculty Club' is located in an existing farm that was completely
renovated by the well-known architect Piet Blom in 1964. In 2003 his son, Abel
Blom, was responsible for new alterations. Architecture by Piet Blom & Abel Blom 





In 1964 Piet Blom converted an
old farmhouse into a refectory. The interior was playful, with split levels and
voids, in sharp contrast to the sober interiors favoured by the New
Objectivity. Blom left his unique architectural signature - a square poised on
one corner - in the placement of windows in buildings and walls. They echo his
legendary cube homes in Rotterdam. The architect s son converted the building
into a chic restaurant.";Culture;Buildings;Food & Drinks;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie7/4a97770103bbff6c00f6daf403723b0b004b9491030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i0b/1c685e0103bbff6c00f6daf403723b0b004b9491030701c1da00da0080.jpg;
"""Ideëenvanger""";;52.241158;6.853259;;;The Belgian artist Fred Bellefroid designed this sculpture to commemorate rector Frans van Vught s departure. Another...;"The Belgian artist Fred
Bellefroid designed this sculpture to commemorate rector Frans van Vught s
departure. Another Bellefroid bronze - 'De Blijvende Verwondering', 1999 - you
'll find farther along the boulevard beside the Bastille. In contrast to most
sculptures on campus, these images are figurative.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i15/a8cc0601030459a20027586a03fe3b0b008c6955020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i83/f43a9201030459a20027586a03fe3b0b008c6955020701c1da00da0080.jpg;
Erve Holzik;40;52.24104;6.860511;;;Erve Holzik used to be owned by a farmer. The last couple of years the Real Estate Group (VGD) ofUniversity of Twente was...;"Erve Holzik used to be owned
by a farmer. The last couple of years the Real Estate Group (VGD) of University of Twente was located here. Nowadays
the VGD does not exist anymore as it had been established as a temporary
organization for coordinating real estate development for a couple of years,
especially in the O&O square area.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/560c010103abff6c0033daf403723b0b00496091030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3f/80f7d90103abff6c0033daf403723b0b00496091030701c1da00da0080.jpg;
Cubicus;41;52.240938;6.856907;;;'Cubicus' is an education and research building in which the Behavioural, Management and Social sciences faculty is...;"'Cubicus' is an education and
research building in which the Behavioural, Management and Social sciences
faculty is accommodated. In this characteristic building, situated in a water
garden, the communication science, educational science and psychology
programmes are housed. This multi-faceted building also accommodates several
student associations, project spaces and meeting and lecture halls.";Culture;Buildings;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i78/b4cf9901037bff6c0086dbf403723b0b0038c890030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic1/e9a17801037bff6c0086dbf403723b0b0038c890030701c1da00da0080.jpg;
Faculty BMS - Cubicus;41;52.240938;6.856907;;;The Faculty of Behavioural, Management and Social sciences (BMS) strives to play a pivotal role in understanding, co-engineering...;"The Faculty of Behavioural,
Management and Social sciences (BMS) strives to play a pivotal role in
understanding, co-engineering and evaluating innovation in society. Innovation
is driven by advances in technology. These technological advances are embedded
in society through social engineering  within public and private management
and business structures, befitting human needs and behavior. In order to do so,
the BMS Faculty boasts academic disciplinary knowledge in psychology, business
administration, public administration, communication sciences, philosophy,
education sciences and health sciences, all with a focus on tackling societal
challenges. Research is strongly connected to institutes of the University of
Twente in the field of governance (IGS), ICT (CTIT), health (MIRA) and
nanotechnology (MESA+).";Education;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i78/b4cf9901037bff6c0086dbf403723b0b0038c890030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic1/e9a17801037bff6c0086dbf403723b0b0038c890030701c1da00da0080.jpg;poiobject:C94972C61220DBA03B9B6F2D3CA1AF3A
Bus stop Drienerbeeklaan;;52.240856;6.844547;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i76/3e2c890103195da200f2a97704b13b0b00b0ffc0010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ia4/8384a50103195da200f2a97704b13b0b00b0ffc0010701c1da00da0080.jpg;
"""Tengenenge beeldengroep""";;52.240855;6.857389;;;These statues were created by various artists from Tengenenge, Zimbabwe. The sculptors  cooperative was founded in the 1960s...;"These statues were created by various artists from
Tengenenge, Zimbabwe. The sculptors  cooperative was founded in the 1960s by
Tom Blomefield, a charismatic and enterprising tobacco planter. The campus
hosted major open-air exhibitions of these works in 1997 and 2000. This spot
was designed by architect Geja Stassen in order to house the serpentine stone
sculptures that were purchased or donated.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ia1/fb0e2c01031b61a200d7b75503fe3b0b00738356020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i36/9f5c4301031b61a200d7b75503fe3b0b00738356020701c1da00da0080.jpg;
Campus University of Twente;99;52.240527;6.851542;;;The University of Twente is where talent can best realize its full potential. Students and staff are the key. Together, 3.300...;"The University of Twente is
where talent can best realize its full potential. Students and staff are the
key. Together, 3.300 scientists and professionals carry out groundbreaking
research, bring about socially relevant innovation, and provide inspiring
teaching for more than 9.000 students.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i4f/f23a3d010303ff6c002fe4f403723b0b0034ea8c030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie9/06cbeb010303ff6c002fe4f403723b0b0034ea8c030701c1da00da0080.jpg;
Bubus;;52.240464;6.855785;;;A silver-coloured artwork is floating in the pond. It is a ball and a cube at the same time: hence the name Bubus. This witty...;"A silver-coloured artwork is
floating in the pond. It is a ball and a cube at the same time: hence the name
Bubus. This witty stainless steel object, which looks like an inflated floating
toy (even though it weighs 2500 kilograms) is a design of artist Ruurd
Hallema.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i20/f589a70103bf5aa200537d5403fe3b0b0096165d020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i87/5768140103bf5aa200537d5403fe3b0b0096165d020701c1da00da0080.jpg;
Bus stop De Broeierd;;52.240461;6.843624;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i83/aec9ea0103b15ca200d2fa7004b13b0b00de26c2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i65/b90bc60103b15ca200d2fa7004b13b0b00de26c2010701c1da00da0080.jpg;
Parking P2;;52.240415;6.857958;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/idb/e7de180103095da20035d86004b13b0b006539c8010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i76/08789c0103095da20035d86004b13b0b006539c8010701c1da00da0080.jpg;
Parking Spiegel Building (backside);;52.240356;6.848302;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ica/ebaac70103a55ca200c7aa6404b13b0b009120ca010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i14/d7cce10103a55ca200c7aa6404b13b0b009120ca010701c1da00da0080.jpg;poiobject:73DC5B08511169701208EA2318DD7391
Employee housing Drienerbeeklaan;;52.240302;6.847291;;;;;Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i05/ef36d501037959a20083c0f502bc3b0b0032b38c010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i84/44f32701037959a20083c0f502bc3b0b0032b38c010701c1da00da0080.jpg;
"""Roombeek""";;52.239982;6.851971;;;The Roombeek neighbourhood of Enschede was the location of a horrible firework disaster in 2001. In commemoration, local policy...;"The Roombeek neighbourhood of Enschede was the
location of a horrible firework disaster in 2001. In commemoration, local
policy decided to let the Roombeek stream flow above ground once again. The
brook now meanders from the disaster neighbourhood to the campus. The Regge and
Dinkel Water Authority built an ingenious passage for it underneath the
Drienerlolaan. The city and the campus are now connected by its waters.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i81/4ffd6d0103db5ca20048d31104fe3b0b009ffa55020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8b/b1d6be0103db5ca20048d31104fe3b0b009ffa55020701c1da00da0080.jpg;
Vleugel;3;52.23987;6.850415;;;The 'Vleugel' building, also referred to as the board wing, is the home base of the Executive Board of the University of Twente....;"The 'Vleugel' building, also
referred to as the board wing, is the home base of the Executive Board of the
University of Twente. The Executive Board consists of Victor van der Chijs
(chairman), Ed Brinksma (rector magnificus) and Mirjam Bult (Vice-president).
Apart from the Executive Board and the secretariats, the spokesperson and the
secretary of the University of Twente work in the board wing as well.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i2c/810cd201035c5ba200a71cb702fe3b0b00248b71020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ife/efc82201035c5ba200a71cb702fe3b0b00248b71020701c1da00da0080.jpg;
Canteen Spiegel;2;52.239785;6.850002;;;Are you in for a lunch sandwich, cup of soup or a hot snack? Then the canteen located in Spiegel (building 2) is the place to...;"Are you in for a lunch
sandwich, cup of soup or a hot snack? Then the canteen located in Spiegel
(building 2) is the place to be.";Food & Drinks;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if1/04933a01031a5ba2000d78cd021e3c0b0099e423020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8f/c7609c01031a5ba2000d78cd021e3c0b0099e423020701c1da00da0080.jpg;poiobject:73DC5B08511169701208EA2318DD7391
Human Resources;2;52.239785;6.850002;;;The University of Twente stands for attracting, developing and challenging top talent. In other words a University of Talent. An...;"The University of Twente
stands for attracting, developing and challenging top talent. In other words a
University of Talent. An inspiring environment where entrepreneurship,
collaboration and involvement are intrinsic values. The powerful position of
University of Twente in both the national and international market, attracts
educational, research and supports talents. We stimulate talented people to
invest in themselves and in the organization by providing customized
development opportunities, coaching sessions and educational programmes. Human
Resources is established in the 'Spiegel' building on the 5th floor.";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iab/59dc370103265ca200cc83f802fe3b0b0035ec6b020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iaa/7320dd0103265ca200cc83f802fe3b0b0035ec6b020701c1da00da0080.jpg;poiobject:73DC5B08511169701208EA2318DD7391
Security;2;52.239785;6.850002;;;The Facility Service Centre provides a variety of security services on the campus by means of the Security Service. For more...;"The Facility Service Centre provides a variety of
security services on the campus by means of the Security Service. For more
information please use the Service ABC or phone the Security Service on 2134. ";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i1d/5721560103695ca200c5ef8c04fe3b0b00dd7d6c020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i0d/e062a90103695ca200c5ef8c04fe3b0b00dd7d6c020701c1da00da0080.jpg;poiobject:73DC5B08511169701208EA2318DD7391
Spiegel;2;52.239785;6.850002;;;The 'Spiegel' building is the home base of various support services of the University of Twente, in the area of personnel...;"The 'Spiegel' building is the
home base of various support services of the University of Twente, in the area
of personnel affairs, finance, ICT support, communication and policy. The 'Spiegel'
building also accommodates various lecture halls, a canteen and project spaces
that students can use. The 'Spiegel' also houses the Study Information Centre
(SI) of the University of Twente. In the Study Information Centre students
answer questions from pre-university education pupils across the various study
programmes of the University of Twente. Architecture by Wim van Tijen 
This building dates from the heyday of the New Objectivity. The architecture
is proud, with clean, imposing lines and few ties to the surroundings.
Initially, Van Tijen wanted to put the building on legs, inspired as he was by
the famous architect Le Corbusier. The building was given an energy-saving skin
in 2000; hence its new name 'Spiegel' (Mirror).";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic9/acb9260103db046d0035cbf403723b0b007b14cd030701c13c03000080.jpg;http://beeldbank.utwente.nl/beeldbank/start/allematerialen/Gebouwen/Spiegel?fc=browse;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i9e/53cec30103db046d0035cbf403723b0b007b14cd030701c1da00da0080.jpg;
Study Information Centre;2;52.239785;6.850002;;;The Study Information Centre (SIC) is located in building 'Spiegel' at the ground floor in room 112. If you have any questions...;"The Study Information Centre (SIC)
is located in building 'Spiegel' at the ground floor in room 112. If you have any questions
about the bachelor and masterprogrammes of the University of Twente in general,
please contact the Study Information Centre via telephone: +31 (0)53 4895489. ";Education;Facilities;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i63/0280cd0103735ba200081ef902213c0b00d3300f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i29/9132f50103735ba200081ef902213c0b00d3300f020701c1da00da0080.jpg;poiobject:73DC5B08511169701208EA2318DD7391
Garage;5;52.239739;6.853977;;;All goods are delivered in this building.;"All goods are delivered in
this building.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i13/a4eb420103245ca200f7d89d02fe3b0b0039b163020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i64/e7f2650103245ca200f7d89d02fe3b0b0039b163020701c1da00da0080.jpg;
Parking Paviljoen Building;;52.239706;6.852797;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iae/6f5f230103a85ea20065107b04b13b0b00d0b0c8010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8c/965fdf0103a85ea20065107b04b13b0b00d0b0c8010701c1da00da0080.jpg;poiobject:9FE993D8E0F46C6AA5FA286422CFE2E0
Parking Spiegel Building (Frontside);;52.239509;6.850426;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i66/d4f96b01039657a20008356404b13b0b00983cca010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ia3/40070701039657a20008356404b13b0b00983cca010701c1da00da0080.jpg;poiobject:73DC5B08511169701208EA2318DD7391
"""Het Ding""";;52.239436;6.851563;;;'Het Ding' was originated as a student prank. Some students constructed the object in secret and erected it in a single day...;"Het Ding' was originated as a
student prank. Some students constructed the object in
secret and erected it in a single day using salvaged telephone poles and
pretensioned steel cables. The principle of building construction was discovered by the American innovator
Richard Buckminster Fuller. Kenneth Snelson created a
similar work, which you can see in the Kröller-Müller sculpture garden, Otterlo.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6b/64ea6601031460a2008976c502fe3b0b004bee54020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i85/fc8c1d01031460a2008976c502fe3b0b004bee54020701c1da00da0080.jpg;
Bus stop UT Main entrance;;52.239433;6.849713;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i40/011c100103de5ba20050057604b13b0b0067dbc2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie9/a8e2810103de5ba20050057604b13b0b0067dbc2010701c1da00da0080.jpg;
Biomagnetic Centre;32;52.239321;6.864608;;;The Biomagnetic Centre (BMC) building is used by the Psychotherapy Centre. The establishment of a Psychotherapy Centre was an...;"The Biomagnetic Centre (BMC)
building is used by the Psychotherapy Centre. The establishment of a
Psychotherapy Centre was an initiative of the University of Twente.
BIG-registered psychotherapists with extensive experience in working with
students and university staff, have been working here since 2008.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id1/ca6b8201038dfe6c0042e5f403763b0b00468e5f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3a/b3ffe601038dfe6c0042e5f403763b0b00468e5f020701c1da00da0080.jpg;
Psychotherapy;32;52.239321;6.864608;;;The establishment of a Psychotherapy Centre was an initiative of the University of Twente. BIG-registered psychotherapists who...;"The establishment of a
Psychotherapy Centre was an initiative of the University of Twente.
BIG-registered psychotherapists who have extensive experience in working with
students and university staff, have been working here since 2008. More
information: www.psychotherapiecentrum.nl";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id1/ca6b8201038dfe6c0042e5f403763b0b00468e5f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3a/b3ffe601038dfe6c0042e5f403763b0b00468e5f020701c1da00da0080.jpg;poiobject:134B881A00DA25FB24AE0D7B766DF83E
Facility Service Centre(FB);6;52.239301;6.852771;;;Facility Service Centre of the University of Twente.;"Facility Service Centre of the
University of Twente.";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i41/818a8501032a046d0048d4f403763b0b0067022b020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i84/c4206601032a046d0048d4f403763b0b0067022b020701c1da00da0080.jpg;poiobject:9FE993D8E0F46C6AA5FA286422CFE2E0
Paviljoen;6;52.239301;6.852771;;;This building was originally designed as a canteen for staff. At the moment it is the home base of the Facility Department of...;"This building was originally
designed as a canteen for staff. At the moment it is the home base of the
Facility Department of the University of Twente. Architecture by Joos van Stigt 





The Paviljoen is a classic
example of Dutch Structuralism, which arose in response to the New Objectivity.
The design consists of small, intimate spaces that are clustered together. A
distinctive feature is the building s stone chimney, with wings fanning out
around it. The building once served as the staff canteen. ";Culture;Buildings;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i41/818a8501032a046d0048d4f403763b0b0067022b020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i84/c4206601032a046d0048d4f403763b0b0067022b020701c1da00da0080.jpg;
Abacus;11;52.239236;6.856456;;;Kamernummer: E 203E-mail: board@abacus.utwente.nlTelefoon: 053-4893435;Kamernummer: E 203E-mail: board@abacus.utwente.nlTelefoon: 053-4893435;Education;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/49e0b00103fa056d00f2c8f403723b0b00f088fc030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if3/cc724d0103fa056d00f2c8f403723b0b00f088fc030701c1da00da0080.jpg;poiobject:88DA3C57E75C13E77A26AEC2C3CCB21E
CTIT;11;52.239236;6.856456;;;The CTIT (institute for ICT research in context) performs research in the field of ICT and ICT applications. Research groups are...;"The CTIT (institute for ICT
research in context) performs research in the field of ICT and ICT
applications. Research groups are working across disciplines on modern-day
technological, economic and social issues. A total of 450 researchers are
attached to the CTIT: computer scientists, electrical engineers, mathematicians
and behavioural scientists.";Research;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/49e0b00103fa056d00f2c8f403723b0b00f088fc030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if3/cc724d0103fa056d00f2c8f403723b0b00f088fc030701c1da00da0080.jpg;poiobject:88DA3C57E75C13E77A26AEC2C3CCB21E
Faculty EEMCS;11;52.239236;6.856456;;;The Faculty of Electrical Engineering, Mathematics and Computer Science.;"The three disciplines of The
Faculty of Electrical Engineering, Mathematics and Computer Science shape information
and communication technology at the University of Twente. ICT is more than
communication. Mathematics, electronics and computer technology are present in
almost every product, and nowadays ICT contributes to all of societies'
activities. It is no longer about gadgets that we do or do not want to use. The
real integration of ICT is just beginning. What we need is more intelligence in
our systems and improvement of their natural interaction with humans.";Education;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/49e0b00103fa056d00f2c8f403723b0b00f088fc030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if3/cc724d0103fa056d00f2c8f403723b0b00f088fc030701c1da00da0080.jpg;poiobject:88DA3C57E75C13E77A26AEC2C3CCB21E
Faculty EWI - Zilverling;11;52.239236;6.856456;;;Welcome to the Faculty of Electrical Engineering, Mathematics and Computer Science. These three disciplines shape Information...;"Welcome to the Faculty of Electrical Engineering, Mathematics and Computer
Science. These three disciplines shape Information and Communication Technology
at the University of Twente. ICT is more than communication. In almost every
product mathematics, electronics and computer technology are present, and ICT
now contributes to all of societies' activities. It is no longer about gadgets
that we do or do not want to use. The real integration of ICT is just
beginning. What we need is more intelligence in our systems and improvement of
their natural interaction with humans.";Education;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/49e0b00103fa056d00f2c8f403723b0b00f088fc030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if3/cc724d0103fa056d00f2c8f403723b0b00f088fc030701c1da00da0080.jpg;poiobject:88DA3C57E75C13E77A26AEC2C3CCB21E
Zilverling;11;52.239236;6.856456;;;The 'Zilverling' is the home base of students and staff of the Electrical Engineering, Mathematics and Computer Science faculty...;"The 'Zilverling' is the home
base of students and staff of the Electrical Engineering, Mathematics and
Computer Science faculty of the research institute CTIT. In the building
research is conducted into, among other things, how to improve the reliability
of ICT networks. Research is also conducted into the way in which small, cheap
sensors can be used for tracing oil leaks deep into the ocean or to measure the
water quality of the Great Barrier Reef in Australia. Among other things the 'Zilverling'
accommodates the Smart XP Lab. This Laboratory is highly suitable for
interdisciplinary research, such as research into the interaction between
humans and robots. The purpose of the laboratory is to have researchers look at
experiments intuitively, from different perspectives.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/49e0b00103fa056d00f2c8f403723b0b00f088fc030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if3/cc724d0103fa056d00f2c8f403723b0b00f088fc030701c1da00da0080.jpg;
Starbucks Coffee;;52.239102;6.856232;;;You can enjoy a delicious Starbucks cup of coffee and more in the Educafé of the Zilverling building. ;You can enjoy a delicious Starbucks cup of coffee and more in the Educafé of the Zilverling building. ;Food & Drinks;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/idc/83feee01032b58a200f210ce02b13b0b0060e0ba010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i13/33b5ff01032b58a200f210ce02b13b0b0060e0ba010701c1da00da0080.jpg;poiobject:88DA3C57E75C13E77A26AEC2C3CCB21E
Stores - for electronics and parts;;52.239102;6.856232;;;The STORES is located in the Educafé in building 'Zilverling' at the campus of University of Twente and offers electronics and...;"The STORES is located in the
Educafé in building 'Zilverling' at the campus of University of Twente and
offers electronics and parts. After entering the 'Zilverling' turn left to
enter the Educafé. Then turn right and find the STORES at the second counter
(room no. E103).";Shops;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie3/6da3f601037459a20071a48004fe3b0b00ecf875020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i86/da887601037459a20071a48004fe3b0b00ecf875020701c1da00da0080.jpg;poiobject:88DA3C57E75C13E77A26AEC2C3CCB21E
Coffee Corner Ravelijn;10;52.2391;6.855662;;;An excellent cup of coffee (or tea), accompanied by a muffin if you want, is served at the Coffee Corners in the buildings...;"An excellent cup of coffee (or
tea), accompanied by a muffin if you want, is served at the Coffee Corners in
the buildings 'Ravelijn' and 'Waaier'.";Food & Drinks;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i65/ae69a201038860a2001844ce02fe3b0b003d556a020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i01/deb84e01038860a2001844ce02fe3b0b003d556a020701c1da00da0080.jpg;poiobject:A98D6D1CC4332AD18BF66A6121D7EBFD
Faculty BMS - Ravelijn;10;52.2391;6.855662;;;The Faculty of Behavioural, Management and Social sciences.;"The Faculty of Behavioural,
Management and Social sciences (BMS) strives to play a pivotal role in
understanding, co-engineering and evaluating innovation in society. Innovation
is driven by advances in technology. Through social engineering  these
technological advances are embedded in society within public and private
management and business structures, befitting human needs and behavior. In
order to do so, the BMS Faculty boasts academic disciplinary knowledge in different
fields like psychology, business administration, public administration,
communication sciences, philosophy, education sciences and health sciences, all
with a focus on tackling societal challenges. Research is strongly connected to
institutes in the field of governance (IGS), ICT (CTIT), health (MIRA) and
nanotechnology (MESA+).";Education;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i58/f643ec010337046d007cd4f403723b0b003a9ec7030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i42/2fae1c010337046d007cd4f403723b0b003a9ec7030701c1da00da0080.jpg;poiobject:A98D6D1CC4332AD18BF66A6121D7EBFD
